Station Name,Latitude (deg),Longitude (deg),Elevation (ft),Max Temp (F),Min Temp (F),Rainfall (in),Corn GDD (F),Corn AGDD (F),Delta GDD (5yr),County,Date
Eldred,47.688,-96.822,861,71.834,52.412,0.0,12.0,799.0,-136.0,"Polk, MN",2017-07-13
Eldred,47.688,-96.822,861,80.258,47.246,0.0,15.0,814.0,-139.0,"Polk, MN",2017-07-14
Eldred,47.688,-96.822,861,78.62,51.764,0.0,15.0,829.0,-143.0,"Polk, MN",2017-07-15
Eldred,47.688,-96.822,861,81.068,47.948,0.0,16.0,845.0,-148.0,"Polk, MN",2017-07-16
Eldred,47.688,-96.822,861,86.288,60.206,0.4,23.0,868.0,-146.0,"Polk, MN",2017-07-17
Eldred,47.688,-96.822,861,79.44800000000002,55.976000000000006,0.0,18.0,886.0,-150.0,"Polk, MN",2017-07-18
Eldred,47.688,-96.822,861,81.68,52.718,0.0,17.0,903.0,-155.0,"Polk, MN",2017-07-19
Eldred,47.688,-96.822,861,83.714,56.49800000000001,0.0,20.0,923.0,-155.0,"Polk, MN",2017-07-20
Eldred,47.688,-96.822,861,87.314,64.832,0.3,25.0,948.0,-150.0,"Polk, MN",2017-07-21
Eldred,47.688,-96.822,861,79.988,60.746,0.02,20.0,968.0,-151.0,"Polk, MN",2017-07-22
Eldred,47.688,-96.822,861,77.14399999999998,58.694,0.0,18.0,986.0,-152.0,"Polk, MN",2017-07-23
Eldred,47.688,-96.822,861,79.322,56.84,0.0,18.0,1004.0,-153.0,"Polk, MN",2017-07-24
Eldred,47.688,-96.822,861,84.92,61.844,0.0,23.0,1027.0,-151.0,"Polk, MN",2017-07-25
Eldred,47.688,-96.822,861,79.88,57.68600000000001,0.0,19.0,1046.0,-150.0,"Polk, MN",2017-07-26
Eldred,47.688,-96.822,861,83.37200000000001,52.88,0.0,18.0,1064.0,-149.0,"Polk, MN",2017-07-27
Eldred,47.688,-96.822,861,85.766,54.788,0.0,20.0,1084.0,-146.0,"Polk, MN",2017-07-28
Eldred,47.688,-96.822,861,87.33200000000002,57.848,0.0,22.0,1106.0,-142.0,"Polk, MN",2017-07-29
Eldred,47.688,-96.822,861,87.67399999999998,58.856,0.0,22.0,1128.0,-140.0,"Polk, MN",2017-07-30
Eldred,47.688,-96.822,861,88.35799999999998,61.07,0.0,24.0,1152.0,-135.0,"Polk, MN",2017-07-31
Eldred,47.688,-96.822,861,80.654,56.12,0.0,18.0,1170.0,-137.0,"Polk, MN",2017-08-01
Eldred,47.688,-96.822,861,74.354,50.684,0.17,13.0,1183.0,-142.0,"Polk, MN",2017-08-02
Eldred,47.688,-96.822,861,72.14,53.492,0.12,13.0,1196.0,-147.0,"Polk, MN",2017-08-03
Eldred,47.688,-96.822,861,79.664,47.084,0.0,15.0,1211.0,-146.0,"Polk, MN",2017-08-04
Eldred,47.688,-96.822,861,77.072,48.452,0.0,14.0,1225.0,-148.0,"Polk, MN",2017-08-05
Eldred,47.688,-96.822,861,78.584,46.15,0.0,14.0,1239.0,-152.0,"Polk, MN",2017-08-06
Eldred,47.688,-96.822,861,81.158,47.948,0.0,16.0,1255.0,-153.0,"Polk, MN",2017-08-07
Eldred,47.688,-96.822,861,84.524,47.768,0.0,17.0,1272.0,-154.0,"Polk, MN",2017-08-08
Eldred,47.688,-96.822,861,77.612,58.172,0.02,18.0,1290.0,-152.0,"Polk, MN",2017-08-09
Eldred,47.688,-96.822,861,79.124,52.358,0.0,16.0,1306.0,-153.0,"Polk, MN",2017-08-10
Eldred,47.688,-96.822,861,79.10600000000002,46.562,0.0,15.0,1321.0,-154.0,"Polk, MN",2017-08-11
Eldred,47.688,-96.822,861,79.556,45.383,0.0,15.0,1336.0,-156.0,"Polk, MN",2017-08-12
Eldred,47.688,-96.822,861,75.056,55.274,0.04,15.0,1351.0,-159.0,"Polk, MN",2017-08-13
Eldred,47.688,-96.822,861,82.022,47.246,0.0,16.0,1367.0,-161.0,"Polk, MN",2017-08-14
Eldred,47.688,-96.822,861,79.34,50.504,0.0,15.0,1382.0,-167.0,"Polk, MN",2017-08-15
Eldred,47.688,-96.822,861,67.064,61.25,0.06,14.0,1396.0,-171.0,"Polk, MN",2017-08-16
Eldred,47.688,-96.822,861,78.278,57.308,0.0,18.0,1414.0,-170.0,"Polk, MN",2017-08-17
Eldred,47.688,-96.822,861,82.20200000000001,50.81,0.0,17.0,1431.0,-170.0,"Polk, MN",2017-08-18
Eldred,47.688,-96.822,861,86.126,49.154,0.0,18.0,1449.0,-169.0,"Polk, MN",2017-08-19
Eldred,47.688,-96.822,861,79.142,50.306,0.0,15.0,1464.0,-171.0,"Polk, MN",2017-08-20
Eldred,47.688,-96.822,861,74.57,47.588,0.0,12.0,1476.0,-177.0,"Polk, MN",2017-08-21
Eldred,47.688,-96.822,861,77.09,45.144,0.0,14.0,1490.0,-180.0,"Polk, MN",2017-08-22
Eldred,47.688,-96.822,861,78.692,39.717,0.12,14.0,1504.0,-184.0,"Polk, MN",2017-08-23
Eldred,47.688,-96.822,861,76.748,49.838,0.01,13.0,1517.0,-190.0,"Polk, MN",2017-08-24
Eldred,47.688,-96.822,861,76.442,52.718,0.0,15.0,1532.0,-189.0,"Polk, MN",2017-08-25
Eldred,47.688,-96.822,861,69.422,53.744,0.0,12.0,1544.0,-193.0,"Polk, MN",2017-08-26
Eldred,47.688,-96.822,861,76.586,50.12600000000001,0.0,13.0,1557.0,-195.0,"Polk, MN",2017-08-27
Eldred,47.688,-96.822,861,87.656,45.79,0.0,18.0,1575.0,-198.0,"Polk, MN",2017-08-28
Eldred,47.688,-96.822,861,89.384,53.56399999999999,0.0,20.0,1595.0,-198.0,"Polk, MN",2017-08-29
Eldred,47.688,-96.822,861,81.176,49.964,0.0,16.0,1611.0,-201.0,"Polk, MN",2017-08-30
Eldred,47.688,-96.822,861,76.42399999999998,45.57,0.0,13.0,1624.0,-206.0,"Polk, MN",2017-08-31
Eldred,47.688,-96.822,861,68.018,55.04,0.17,12.0,1636.0,-210.0,"Polk, MN",2017-09-01
Eldred,47.688,-96.822,861,81.86,49.226000000000006,0.0,16.0,1652.0,-212.0,"Polk, MN",2017-09-02
Eldred,47.688,-96.822,861,91.184,47.678,0.0,18.0,1670.0,-213.0,"Polk, MN",2017-09-03
Eldred,47.688,-96.822,861,72.69800000000002,48.29,0.02,11.0,1681.0,-220.0,"Polk, MN",2017-09-04
Eldred,47.688,-96.822,861,67.712,39.033,0.0,9.0,1690.0,-226.0,"Polk, MN",2017-09-05
Eldred,47.688,-96.822,861,70.08800000000001,35.062,0.0,10.0,1700.0,-230.0,"Polk, MN",2017-09-06
Eldred,47.688,-96.822,861,82.07600000000002,41.614,0.0,16.0,1716.0,-228.0,"Polk, MN",2017-09-07
Eldred,47.688,-96.822,861,73.598,39.247,0.0,12.0,1728.0,-229.0,"Polk, MN",2017-09-08
Eldred,47.688,-96.822,861,81.374,42.476000000000006,0.0,16.0,1744.0,-222.0,"Polk, MN",2017-09-09
Eldred,47.688,-96.822,861,85.62200000000001,58.028,0.0,22.0,1766.0,-212.0,"Polk, MN",2017-09-10
Eldred,47.688,-96.822,861,81.068,52.358,0.0,17.0,1783.0,-206.0,"Polk, MN",2017-09-11
Eldred,47.688,-96.822,861,92.3,48.974,0.0,18.0,1801.0,-197.0,"Polk, MN",2017-09-12
Eldred,47.688,-96.822,861,82.20200000000001,57.128,0.0,20.0,1821.0,-188.0,"Polk, MN",2017-09-13
Eldred,47.688,-96.822,861,65.426,54.428,0.06,10.0,1831.0,-187.0,"Polk, MN",2017-09-14
Eldred,47.688,-96.822,861,58.46,49.658,0.911,4.0,1835.0,-196.0,"Polk, MN",2017-09-15
Eldred,47.688,-96.822,861,53.06,44.881,0.02,2.0,1837.0,-205.0,"Polk, MN",2017-09-16
Eldred,47.688,-96.822,861,61.37600000000001,39.744,0.0,6.0,1843.0,-207.0,"Polk, MN",2017-09-17
Eldred,47.688,-96.822,861,69.98,39.918,0.0,10.0,1853.0,-208.0,"Polk, MN",2017-09-18
Eldred,47.688,-96.822,861,76.262,57.344,0.901,17.0,1870.0,-204.0,"Polk, MN",2017-09-19
Eldred,47.688,-96.822,861,71.132,48.794,0.0,11.0,1881.0,-203.0,"Polk, MN",2017-09-20
Eldred,47.688,-96.822,861,80.888,47.174,0.0,15.0,1896.0,-198.0,"Polk, MN",2017-09-21
Eldred,47.688,-96.822,861,78.67399999999998,54.428,0.0,17.0,1913.0,-190.0,"Polk, MN",2017-09-22
Eldred,47.688,-96.822,861,61.952,49.82,0.07,6.0,1919.0,-195.0,"Polk, MN",2017-09-23
Eldred,47.688,-96.822,861,54.95,49.496,0.81,2.0,1921.0,-207.0,"Polk, MN",2017-09-24
Eldred,47.688,-96.822,861,52.718,47.426,0.0,1.0,1922.0,-218.0,"Polk, MN",2017-09-25
Eldred,47.688,-96.822,861,52.736,38.81800000000001,0.7909999999999999,1.0,1923.0,-232.0,"Polk, MN",2017-09-26
Eldred,47.688,-96.822,861,71.096,41.063,0.0,11.0,1934.0,-233.0,"Polk, MN",2017-09-27
Eldred,47.688,-96.822,861,68.396,39.37300000000001,0.0,9.0,1943.0,-232.0,"Polk, MN",2017-09-28
Eldred,47.688,-96.822,861,62.56399999999999,33.004,0.0,6.0,1949.0,-237.0,"Polk, MN",2017-09-29
Eldred,47.688,-96.822,861,70.79,40.78,0.0,10.0,1959.0,-239.0,"Polk, MN",2017-09-30
Perley,47.179,-96.68,895,80.546,53.24,0.0,,,,"Norman, MN",2017-05-15
Perley,47.179,-96.68,895,64.88600000000001,51.926,0.11,8.0,8.0,-2.0,"Norman, MN",2017-05-16
Perley,47.179,-96.68,895,58.496,46.742,0.0,4.0,12.0,-11.0,"Norman, MN",2017-05-17
Perley,47.179,-96.68,895,64.976,41.698,0.0,7.0,19.0,-18.0,"Norman, MN",2017-05-18
Perley,47.179,-96.68,895,64.382,37.195,0.0,7.0,26.0,-21.0,"Norman, MN",2017-05-19
Perley,47.179,-96.68,895,52.664,40.359,0.47,1.0,27.0,-31.0,"Norman, MN",2017-05-20
Perley,47.179,-96.68,895,53.096,37.44,0.13,2.0,29.0,-39.0,"Norman, MN",2017-05-21
Perley,47.179,-96.68,895,57.398,40.975,0.0,4.0,33.0,-50.0,"Norman, MN",2017-05-22
Perley,47.179,-96.68,895,59.342,41.706,0.03,5.0,38.0,-59.0,"Norman, MN",2017-05-23
Perley,47.179,-96.68,895,68.324,36.093,0.0,9.0,47.0,-65.0,"Norman, MN",2017-05-24
Perley,47.179,-96.68,895,71.384,46.868,0.0,11.0,58.0,-66.0,"Norman, MN",2017-05-25
Perley,47.179,-96.68,895,73.544,46.07100000000001,0.0,12.0,70.0,-67.0,"Norman, MN",2017-05-26
Perley,47.179,-96.68,895,81.068,44.863,0.0,16.0,86.0,-66.0,"Norman, MN",2017-05-27
Perley,47.179,-96.68,895,70.178,46.0,0.03,10.0,96.0,-72.0,"Norman, MN",2017-05-28
Perley,47.179,-96.68,895,60.08,48.092,0.04,5.0,101.0,-79.0,"Norman, MN",2017-05-29
Perley,47.179,-96.68,895,64.07600000000001,42.978,0.0,7.0,108.0,-87.0,"Norman, MN",2017-05-30
Perley,47.179,-96.68,895,75.758,42.98,0.0,13.0,121.0,-85.0,"Norman, MN",2017-05-31
Perley,47.179,-96.68,895,84.32600000000002,44.679,0.0,17.0,138.0,-78.0,"Norman, MN",2017-06-01
Perley,47.179,-96.68,895,95.702,57.632,0.0,22.0,160.0,-69.0,"Norman, MN",2017-06-02
Perley,47.179,-96.68,895,87.89,55.526,0.0,21.0,181.0,-60.0,"Norman, MN",2017-06-03
Perley,47.179,-96.68,895,82.49,50.45,0.0,16.0,197.0,-58.0,"Norman, MN",2017-06-04
Perley,47.179,-96.68,895,86.432,52.322,0.0,19.0,216.0,-55.0,"Norman, MN",2017-06-05
Perley,47.179,-96.68,895,91.148,58.226000000000006,0.0,22.0,238.0,-46.0,"Norman, MN",2017-06-06
Perley,47.179,-96.68,895,85.244,57.596,0.09,21.0,259.0,-41.0,"Norman, MN",2017-06-07
Perley,47.179,-96.68,895,82.94,52.79,0.0,18.0,277.0,-40.0,"Norman, MN",2017-06-08
Perley,47.179,-96.68,895,90.14,53.78,0.24,20.0,297.0,-38.0,"Norman, MN",2017-06-09
Perley,47.179,-96.68,895,81.392,61.25,0.0,21.0,318.0,-33.0,"Norman, MN",2017-06-10
Perley,47.179,-96.68,895,84.038,56.444,0.22,20.0,338.0,-28.0,"Norman, MN",2017-06-11
Perley,47.179,-96.68,895,78.944,50.684,0.0,15.0,353.0,-28.0,"Norman, MN",2017-06-12
Perley,47.179,-96.68,895,76.316,58.334,1.491,17.0,370.0,-28.0,"Norman, MN",2017-06-13
Perley,47.179,-96.68,895,79.08800000000002,59.918,0.01,20.0,390.0,-25.0,"Norman, MN",2017-06-14
Perley,47.179,-96.68,895,76.80199999999998,57.434,0.0,17.0,407.0,-23.0,"Norman, MN",2017-06-15
Perley,47.179,-96.68,895,81.392,54.698,0.01,18.0,425.0,-20.0,"Norman, MN",2017-06-16
Perley,47.179,-96.68,895,72.66199999999998,53.654,0.36,13.0,438.0,-24.0,"Norman, MN",2017-06-17
Perley,47.179,-96.68,895,71.564,54.5,0.02,13.0,451.0,-29.0,"Norman, MN",2017-06-18
Perley,47.179,-96.68,895,73.02199999999998,49.91,0.03,12.0,463.0,-35.0,"Norman, MN",2017-06-19
Perley,47.179,-96.68,895,72.95,48.506,0.01,11.0,474.0,-41.0,"Norman, MN",2017-06-20
Perley,47.179,-96.68,895,85.17200000000003,52.19600000000001,0.0,19.0,493.0,-40.0,"Norman, MN",2017-06-21
Perley,47.179,-96.68,895,79.97,49.352,0.0,15.0,508.0,-43.0,"Norman, MN",2017-06-22
Perley,47.179,-96.68,895,66.866,47.192,0.0,8.0,516.0,-53.0,"Norman, MN",2017-06-23
Perley,47.179,-96.68,895,60.692,43.808,0.07,5.0,521.0,-67.0,"Norman, MN",2017-06-24
Perley,47.179,-96.68,895,67.874,42.649,0.0,9.0,530.0,-77.0,"Norman, MN",2017-06-25
Perley,47.179,-96.68,895,74.102,39.259,0.0,12.0,542.0,-86.0,"Norman, MN",2017-06-26
Perley,47.179,-96.68,895,79.232,45.523,0.0,15.0,557.0,-92.0,"Norman, MN",2017-06-27
Perley,47.179,-96.68,895,69.782,61.034,0.86,15.0,572.0,-96.0,"Norman, MN",2017-06-28
Perley,47.179,-96.68,895,75.938,59.432,0.0,18.0,590.0,-98.0,"Norman, MN",2017-06-29
Perley,47.179,-96.68,895,71.762,52.754,0.05,12.0,602.0,-101.0,"Norman, MN",2017-06-30
Perley,47.179,-96.68,895,75.47,50.45,0.0,13.0,615.0,-105.0,"Norman, MN",2017-07-01
Perley,47.179,-96.68,895,74.318,46.79600000000001,0.0,12.0,627.0,-112.0,"Norman, MN",2017-07-02
Perley,47.179,-96.68,895,82.31,52.574,0.0,17.0,644.0,-116.0,"Norman, MN",2017-07-03
Perley,47.179,-96.68,895,93.38,60.17,0.03,23.0,667.0,-117.0,"Norman, MN",2017-07-04
Perley,47.179,-96.68,895,91.904,62.096,0.0,24.0,691.0,-115.0,"Norman, MN",2017-07-05
Perley,47.179,-96.68,895,82.706,62.24,0.17,22.0,713.0,-112.0,"Norman, MN",2017-07-06
Perley,47.179,-96.68,895,77.972,54.572,0.0,16.0,729.0,-114.0,"Norman, MN",2017-07-07
Perley,47.179,-96.68,895,86.414,52.628,0.0,19.0,748.0,-113.0,"Norman, MN",2017-07-08
Perley,47.179,-96.68,895,84.056,63.608,0.05,24.0,772.0,-106.0,"Norman, MN",2017-07-09
Perley,47.179,-96.68,895,84.38,57.794,0.0,21.0,793.0,-106.0,"Norman, MN",2017-07-10
Perley,47.179,-96.68,895,87.63799999999998,62.096,1.421,24.0,817.0,-104.0,"Norman, MN",2017-07-11
Perley,47.179,-96.68,895,69.062,57.362,0.0,13.0,830.0,-114.0,"Norman, MN",2017-07-12
Perley,47.179,-96.68,895,70.61,54.14,0.0,12.0,842.0,-122.0,"Norman, MN",2017-07-13
Perley,47.179,-96.68,895,80.24,49.04600000000001,0.0,15.0,857.0,-126.0,"Norman, MN",2017-07-14
Perley,47.179,-96.68,895,78.404,56.75,0.0,18.0,875.0,-127.0,"Norman, MN",2017-07-15
Perley,47.179,-96.68,895,84.056,51.422,0.0,18.0,893.0,-130.0,"Norman, MN",2017-07-16
Perley,47.179,-96.68,895,92.66,66.452,0.0,26.0,919.0,-126.0,"Norman, MN",2017-07-17
Perley,47.179,-96.68,895,81.96799999999998,59.12600000000001,0.12,21.0,940.0,-128.0,"Norman, MN",2017-07-18
Perley,47.179,-96.68,895,81.64399999999998,53.24,0.0,17.0,957.0,-133.0,"Norman, MN",2017-07-19
Perley,47.179,-96.68,895,86.936,58.154,0.0,22.0,979.0,-132.0,"Norman, MN",2017-07-20
Perley,47.179,-96.68,895,90.284,66.77600000000001,0.0,26.0,1005.0,-128.0,"Norman, MN",2017-07-21
Perley,47.179,-96.68,895,81.212,59.12600000000001,0.2,20.0,1025.0,-128.0,"Norman, MN",2017-07-22
Perley,47.179,-96.68,895,78.458,57.974,0.0,18.0,1043.0,-130.0,"Norman, MN",2017-07-23
Perley,47.179,-96.68,895,79.358,60.17,0.0,20.0,1063.0,-130.0,"Norman, MN",2017-07-24
Perley,47.179,-96.68,895,80.546,61.178,0.0,21.0,1084.0,-130.0,"Norman, MN",2017-07-25
Perley,47.179,-96.68,895,81.392,55.49,0.0,18.0,1102.0,-130.0,"Norman, MN",2017-07-26
Perley,47.179,-96.68,895,85.17200000000003,52.988,0.0,19.0,1121.0,-128.0,"Norman, MN",2017-07-27
Perley,47.179,-96.68,895,86.954,56.39,0.0,21.0,1142.0,-124.0,"Norman, MN",2017-07-28
Perley,47.179,-96.68,895,87.08,61.394,0.0,24.0,1166.0,-118.0,"Norman, MN",2017-07-29
Perley,47.179,-96.68,895,88.62799999999999,61.7,0.0,24.0,1190.0,-114.0,"Norman, MN",2017-07-30
Perley,47.179,-96.68,895,88.79,62.54600000000001,0.0,24.0,1214.0,-108.0,"Norman, MN",2017-07-31
Perley,47.179,-96.68,895,82.742,58.58600000000001,0.0,21.0,1235.0,-108.0,"Norman, MN",2017-08-01
Perley,47.179,-96.68,895,77.486,53.54600000000001,0.21,16.0,1251.0,-110.0,"Norman, MN",2017-08-02
Perley,47.179,-96.68,895,72.752,52.394,0.16,13.0,1264.0,-116.0,"Norman, MN",2017-08-03
Perley,47.179,-96.68,895,79.196,45.032,0.0,15.0,1279.0,-116.0,"Norman, MN",2017-08-04
Perley,47.179,-96.68,895,79.25,50.93600000000001,0.0,15.0,1294.0,-116.0,"Norman, MN",2017-08-05
Perley,47.179,-96.68,895,78.836,49.226000000000006,0.0,14.0,1308.0,-120.0,"Norman, MN",2017-08-06
Perley,47.179,-96.68,895,81.824,48.128,0.0,16.0,1324.0,-122.0,"Norman, MN",2017-08-07
Perley,47.179,-96.68,895,85.1,51.602,0.0,18.0,1342.0,-123.0,"Norman, MN",2017-08-08
Perley,47.179,-96.68,895,79.556,59.864,0.02,20.0,1362.0,-120.0,"Norman, MN",2017-08-09
Perley,47.179,-96.68,895,81.212,55.79600000000001,0.0,19.0,1381.0,-117.0,"Norman, MN",2017-08-10
Perley,47.179,-96.68,895,81.086,46.79600000000001,0.0,16.0,1397.0,-118.0,"Norman, MN",2017-08-11
Perley,47.179,-96.68,895,80.47399999999998,46.364,0.0,15.0,1412.0,-121.0,"Norman, MN",2017-08-12
Perley,47.179,-96.68,895,70.142,58.334,0.13,14.0,1426.0,-125.0,"Norman, MN",2017-08-13
Perley,47.179,-96.68,895,79.44800000000002,52.808,0.0,16.0,1442.0,-128.0,"Norman, MN",2017-08-14
Perley,47.179,-96.68,895,75.704,51.764,0.0,14.0,1456.0,-135.0,"Norman, MN",2017-08-15
Perley,47.179,-96.68,895,67.964,63.104,0.07,16.0,1472.0,-137.0,"Norman, MN",2017-08-16
Perley,47.179,-96.68,895,80.042,57.974,0.0,19.0,1491.0,-136.0,"Norman, MN",2017-08-17
Perley,47.179,-96.68,895,80.654,55.31,0.0,18.0,1509.0,-135.0,"Norman, MN",2017-08-18
Perley,47.179,-96.68,895,83.53399999999998,53.78,0.0,19.0,1528.0,-132.0,"Norman, MN",2017-08-19
Perley,47.179,-96.68,895,78.836,54.86,0.0,17.0,1545.0,-132.0,"Norman, MN",2017-08-20
Perley,47.179,-96.68,895,77.0,53.654,0.0,15.0,1560.0,-136.0,"Norman, MN",2017-08-21
Perley,47.179,-96.68,895,79.10600000000002,45.87300000000001,0.0,15.0,1575.0,-139.0,"Norman, MN",2017-08-22
Perley,47.179,-96.68,895,78.35,42.233,0.14,14.0,1589.0,-144.0,"Norman, MN",2017-08-23
Perley,47.179,-96.68,895,76.49600000000002,52.214,0.0,14.0,1603.0,-148.0,"Norman, MN",2017-08-24
